model,K,topN,normalize,div_mode,anchor_L,rel_mode,w_rel,w_novelty,w_longtail,w_div,Recall@10,NDCG@10,Coverage@10,LongTailShare@10,Novelty@10,AvgPopularity@10,seconds
NGCF-Rerank,10,200,minmax,max,0,raw,0.7,0.05,0.25,0.0,0.06837748344370861,0.034474097514996103,0.5563950350782515,0.06806291390728476,9.956787452350389,1304.5422847682119,1.175445318222046
NGCF-Rerank,10,200,minmax,max,0,raw,0.7,0.08,0.22000000000000008,0.0,0.0673841059602649,0.03422189847533041,0.5553157042633567,0.06948675496688742,9.978964113383894,1286.6539238410596,1.1007335186004639
NGCF-Rerank,10,200,minmax,max,0,raw,0.7,0.0,0.27,0.03,0.06854304635761589,0.034622621113353486,0.5372369131138695,0.059056291390728474,9.884368226591326,1351.100215231788,6.846826553344727
NGCF-Rerank,10,200,minmax,max,0,raw,0.7,0.03,0.24,0.03,0.06920529801324503,0.034711835551307406,0.5375067458175931,0.06071192052980132,9.907171551091782,1333.2581125827815,6.2741453647613525
NGCF-Rerank,10,200,minmax,max,0,raw,0.7,0.05,0.21999999999999997,0.03,0.06887417218543046,0.03464990411324029,0.5399352401511063,0.06175496688741722,9.922441223725578,1321.5120198675497,6.198832988739014
NGCF-Rerank,10,200,minmax,max,0,raw,0.7,0.08,0.19000000000000006,0.03,0.06804635761589405,0.03441625667298765,0.5434430652995142,0.06332781456953643,9.945123656411834,1304.1614900662253,6.688250780105591
NGCF-Rerank,10,200,minmax,max,0,raw,0.7,0.0,0.25,0.05,0.06837748344370861,0.034626445389716466,0.5250944414463032,0.05538079470198676,9.863255417062748,1361.6574668874173,7.24216365814209
NGCF-Rerank,10,200,minmax,max,0,raw,0.7,0.03,0.21999999999999997,0.05,0.06854304635761589,0.03457109555568531,0.5286022665947113,0.05710264900662251,9.886394489127278,1343.9103311258277,6.251083135604858
NGCF-Rerank,10,200,minmax,max,0,raw,0.7,0.05,0.19999999999999996,0.05,0.06887417218543046,0.034658469414744736,0.5315704263356719,0.05826158940397351,9.901544150579845,1332.1475993377483,6.236907958984375
NGCF-Rerank,10,200,minmax,max,0,raw,0.7,0.08,0.17000000000000004,0.05,0.06837748344370861,0.03459237273755105,0.5356179168915273,0.06008278145695364,9.92574892830375,1313.7784271523178,6.756265640258789
NGCF-Rerank,10,200,minmax,max,0,raw,0.7,0.0,0.22000000000000008,0.08,0.06854304635761589,0.034686916731075323,0.5156502968159741,0.05074503311258278,9.835474840410498,1376.1777649006622,6.535294771194458
NGCF-Rerank,10,200,minmax,max,0,raw,0.7,0.03,0.19000000000000006,0.08,0.06937086092715232,0.034898334475188114,0.5202374527792768,0.052731788079470196,9.860013480170673,1357.63309602649,6.871939420700073
NGCF-Rerank,10,200,minmax,max,0,raw,0.7,0.05,0.17000000000000004,0.08,0.0695364238410596,0.03481556532805187,0.5234754452239612,0.05413907284768212,9.875922408924987,1345.7745198675498,6.5835442543029785
